Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9288749307223351,0.9643119929275115,0.9578357975447728,0.9599186313454771
Neural Network,0.9370650902149147,0.9717607088273431,0.9711868541887296,0.9713495765431358
